,sentences
0,"Atomic Habits karya James Clear, merupakan salah satu buku self improvement yang mengajarkan bagaimana caranya membangun kebiasaan baik dan meninggalkan kebiasaan buruk."
1,Dalam buku ini menerangkan mengenai memperoleh hasil yang luar biasa dengan mengubah rutinitas-rutinitas kecil yang baik.
2,Perubahan-perubahan kecil ini akan menjadikan kita luar biasa jika kita praktekan secara telaten dan terus-menerus.
3,"Seseorang yang memiliki habits baik dalam dirinya, memiliki kecenderungan lebih sukses daripada seseorang yang memiliki habits buruk."
4,"James Clear mengambil contoh dalam olahraga sepeda di Britania Raya, dimana dapat mengubah grup nya yang awalnya biasa saja menjadi juara Tour de France sebanyak 5 kali dalam 6 tahun berturut-turut."
5,Ia menjelaskan bahwa untuk mendapatkan kemenangan tersebut Dave hanya mengubah hal-hal kecil dan terkesan sepele.
6,Dimana dia mecoba mendesain ulang tempat duduk sepeda agar lebih nyaman ketika digunakan dan menyuruh seluruh tim-nya untuk memakai celana  yang dapat menjaga suhu tubuh mereka agar tetap hangat.
7,Perubahan-perubahan kecil yang atomic semacam ini yang dapat membawa perubahan besar terhadap reputasi tim Dave.
8,"Zona nyaman memberikan kalian efek nyaman, rileks, dan juga stabil tanpa gangguan."
9,Pengaruh tersebut dikarenakan bahwa otak memproduksi senyawa dopamine & serotonin ketika kalian merasa nyaman.
